key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
left,0.8904863999923691,12.30919780000113,None,,,2,001,2020_Nov_03_1409,untitled,2020.2.5,143.7459033015535,
,,,,12.173720080312341,13.174174599989783,,,,,,,
