key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,5.763138999987859,17.0117423000047,None,,,1,001,2020_Nov_03_1404,untitled,2020.2.5,145.08565851564614,
,,,,16.98272376024397,17.987192099972162,,,,,,,
